id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,Blockwise,hip hop,aggressive,0.88,95,0.40,0.85,0.08
12,Elegy in Grey,Aria Sever,classical,melancholy,0.25,66,0.30,0.20,0.95
13,Neon Horizon,Pulsewave,edm,euphoric,0.95,128,0.90,0.92,0.03
14,Dust Road Home,Clay Hollow,country,nostalgic,0.50,100,0.55,0.50,0.60
15,Iron Verdict,Ashfall,metal,angry,0.97,160,0.25,0.40,0.02
16,Velvet Hours,Mara Lune,r&b,romantic,0.45,88,0.70,0.68,0.30
17,Willow & Wren,The Paper Sparrows,folk,peaceful,0.30,76,0.60,0.35,0.88
18,Island Time,Sunny Coast Collective,reggae,laid-back,0.55,92,0.75,0.72,0.40
19,Groove Machine,The Funk Ledger,funk,upbeat,0.80,112,0.82,0.90,0.12
20,Sunday Testimony,Harmony Rising,gospel,uplifting,0.68,84,0.88,0.61,0.55
21,Backroom Blues,Cotton Sever,blues,melancholy,0.44,74,0.38,0.52,0.66
22,Disco Fever Dream,Mirrorball Kids,disco,euphoric,0.86,124,0.85,0.94,0.09
23,Warehouse Pulse,Kern Signal,techno,intense,0.90,130,0.42,0.83,0.02
24,Fiesta en la Playa,Los Corazones,latin,happy,0.78,102,0.89,0.87,0.28
25,Riot in Room 6,Static Cadets,punk,angry,0.95,168,0.55,0.58,0.04
26,Seoul After Dark,LUNA9,k-pop,euphoric,0.84,120,0.80,0.91,0.15
27,Lagos Sunrise,Ade & the Groove,afrobeat,happy,0.72,108,0.83,0.88,0.33
28,Porch Light Pickin',The Ridgeline Trio,bluegrass,nostalgic,0.48,116,0.62,0.49,0.82
